scenario,set_name,vaccine,gavi_support,activity_type,country_code,country,year,age_first,age_last,age_range_verbatim,target,coverage
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1986,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1987,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1988,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1989,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1990,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1991,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1992,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1993,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1994,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1995,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1996,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1997,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1998,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,1999,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2000,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2001,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2002,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2003,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2004,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2005,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2006,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2007,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2008,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2009,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2010,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2011,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2012,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2013,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2014,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2015,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2016,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2017,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2018,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2019,0,0,<NA>,<NA>,0
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2020,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2021,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2022,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2023,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2024,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2025,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2026,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2027,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2028,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2029,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2030,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2031,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2032,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2033,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2034,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2035,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2036,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2037,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2038,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2039,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2040,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2041,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2042,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2043,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2044,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2045,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2046,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2047,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2048,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2049,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2050,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2051,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2052,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2053,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2054,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2055,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2056,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2057,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2058,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2059,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2060,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2061,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2062,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2063,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2064,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2065,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2066,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2067,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2068,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2069,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2070,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2071,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2072,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2073,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2074,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2075,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2076,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2077,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2078,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2079,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2080,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2081,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2082,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2083,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2084,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2085,0,0,<NA>,<NA>,0.95
je-routine-gavi,"JE: JE, with, routine",JE,total,routine,BTN,Bhutan,2086,0,0,<NA>,<NA>,0.95
